label,message
0,happy birthday hope you have a great day
1,win cash today click bitlywinnow
1,urgent your account will be suspended verify immediately
1,urgent your account will be suspended verify immediately
0,can you send the details today
1,congratulations you have won cash reward claim now at securerewardnet
1,free trial available for investment plan sign up today
0,i will call you after am
1,congratulations you have won a gift card claim now at wwwclaimnowcom
0,happy birthday hope you have a great day
1,final notice payment overdue
0,see you at the office tomorrow
1,act now exclusive deal expires tonight
1,earn up to per week from home
1,urgent your account is locked verify immediately
1,urgent your account is locked verify immediately
0,lets catch up this weekend
1,you are selected for an exclusive offer reply yes to claim
1,win cash today click securerewardnet
0,lets catch up this weekend
0,hey are we still meeting at pm
0,the meeting is scheduled for tomorrow
0,see you at the office tomorrow
0,see you at the office tomorrow
0,i will call you after pm
0,happy birthday hope you have a great day
0,the meeting is scheduled for tomorrow
1,your loan is approved contact us now
1,free trial available for online course sign up today
1,you are selected for a bonus reply yes to claim
0,the meeting is scheduled for pm
0,see you at the office tomorrow
1,limited time offer get off on electronics
0,please review the proposal and let me know
0,i will call you after am
0,the meeting is scheduled for pm
1,your loan is pending contact us now
1,limited time offer get off on mobile plans
1,earn up to per week from home
0,please review the report and let me know
0,the meeting is scheduled for am
0,see you at the office tomorrow
0,thanks for your help with the project
1,free trial available for investment plan sign up today
0,can you send the presentation today
0,see you at the office tomorrow
1,win cash today click securerewardnet
1,act now exclusive deal expires tonight
1,hey are we still meeting at tomorrow
1,you are selected for an exclusive offer reply yes to claim
1,your loan is pending contact us now
1,final notice payment overdue
0,see you at the office tomorrow
1,limited time offer get off on electronics
0,please review the assignment and let me know
0,please review the assignment and let me know
1,win cash today click wwwclaimnowcom
0,can you send the invoice today
0,hey are we still meeting at pm
1,win cash today click securerewardnet
0,can you send the invoice today
0,dont forget to bring the documents
0,the meeting is scheduled for am
0,hey are we still meeting at pm
1,you are selected for a bonus reply yes to claim
1,win cash today click bitlywinnow
0,win cash today click wwwclaimnowcom
1,you are selected for a bonus reply yes to claim
0,happy birthday hope you have a great day
0,please review the report and let me know
0,lets catch up this weekend
0,thanks for your help with the issue
1,urgent your account needs verification verify immediately
1,limited time offer get off on clothing
0,see you at the office tomorrow
0,happy birthday hope you have a great day
1,you are selected for a free ticket reply yes to claim
0,can you send the invoice today
1,limited time offer get off on electronics
0,hey are we still meeting at pm
1,act now exclusive deal expires tonight
0,lets catch up this weekend
0,happy birthday hope you have a great day
0,i will call you after am
0,can you send the invoice today
0,can you send the details today
1,win cash today click bitlywinnow
1,limited time offer get off on electronics
1,limited time offer get off on clothing
0,hey are we still meeting at pm
0,see you at the office tomorrow
0,happy birthday hope you have a great day
0,hey are we still meeting at pm
0,see you at the office tomorrow
1,limited time offer get off on mobile plans
0,can you send the presentation today
1,congratulations you have won claim now at wwwclaimnowcom
0,i will call you after tomorrow
0,the meeting is scheduled for am
1,earn up to per week from home
1,final notice payment approved
0,hey are we still meeting at pm
1,your loan is pending contact us now
0,lets catch up this weekend
1,win cash today click wwwclaimnowcom
1,final notice payment pending
1,win cash today click securerewardnet
1,act now exclusive deal expires tonight
0,please review the assignment and let me know
1,earn up to per week from home
0,thanks for your help with the issue
1,limited time offer get off on clothing
1,free trial available for investment plan sign up today
1,win cash today click wwwclaimnowcom
1,can you send the invoice today
0,see you at the office tomorrow
0,i will call you after am
1,you are selected for an exclusive offer reply yes to claim
0,see you at the office tomorrow
0,dont forget to bring the id card
1,congratulations you have won a new phone claim now at bitlywinnow
0,can you send the invoice today
1,final notice payment overdue
1,hey are we still meeting at tomorrow
0,can you send the presentation today
1,your loan is approved contact us now
1,limited time offer get off on electronics
0,please review the proposal and let me know
1,win cash today click wwwclaimnowcom
1,final notice payment pending
1,act now exclusive deal expires tonight
1,earn up to per week from home
0,see you at the office tomorrow
1,you are selected for a free ticket reply yes to claim
0,can you send the invoice today
0,dont forget to bring the documents
0,thanks for your help with the project
0,see you at the office tomorrow
0,see you at the office tomorrow
0,can you send the presentation today
1,dont forget to bring the id card
0,i will call you after tomorrow
1,urgent your account will be suspended verify immediately
0,please review the proposal and let me know
1,urgent your account needs verification verify immediately
1,congratulations you have won a new phone claim now at securerewardnet
1,final notice payment pending
0,happy birthday hope you have a great day
1,you are selected for an exclusive offer reply yes to claim
0,i will call you after tomorrow
1,your loan is pending contact us now
0,lets catch up this weekend
1,win cash today click securerewardnet
0,happy birthday hope you have a great day
1,congratulations you have won a gift card claim now at bitlywinnow
0,happy birthday hope you have a great day
0,see you at the office tomorrow
1,final notice payment pending
0,happy birthday hope you have a great day
1,urgent your account needs verification verify immediately
1,your loan is pending contact us now
1,free trial available for online course sign up today
1,win cash today click wwwclaimnowcom
1,final notice payment approved
1,urgent your account is locked verify immediately
1,final notice payment pending
0,hey are we still meeting at pm
1,final notice payment pending
0,the meeting is scheduled for am
0,see you at the office tomorrow
0,dont forget to bring the documents
0,happy birthday hope you have a great day
0,dont forget to bring the id card
1,win cash today click bitlywinnow
0,the meeting is scheduled for pm
0,thanks for your help with the project
0,the meeting is scheduled for tomorrow
0,lets catch up this weekend
1,win cash today click securerewardnet
1,urgent your account will be suspended verify immediately
0,i will call you after am
1,free trial available for streaming service sign up today
0,lets catch up this weekend
0,please review the proposal and let me know
1,final notice payment approved
0,please review the assignment and let me know
0,hey are we still meeting at tomorrow
0,dont forget to bring the laptop
1,you are selected for an exclusive offer reply yes to claim
1,congratulations you have won shopping voucher claim now at bitlywinnow
1,win cash today click bitlywinnow
1,urgent your account is locked verify immediately
1,congratulations you have won a gift card claim now at wwwclaimnowcom
0,hey are we still meeting at am
0,hey are we still meeting at tomorrow
0,thanks for your help with the project
0,hey are we still meeting at tomorrow
0,i will call you after am
1,free trial available for online course sign up today
0,i will call you after tomorrow
0,please review the assignment and let me know
0,hey are we still meeting at pm
0,you are selected for a bonus reply yes to claim
1,congratulations you have won claim now at bitlywinnow
1,earn up to per week from home
1,urgent your account will be suspended verify immediately
0,dont forget to bring the laptop
1,free trial available for streaming service sign up today
0,can you send the invoice today
1,urgent your account needs verification verify immediately
0,hey are we still meeting at tomorrow
0,i will call you after tomorrow
1,your loan is pending contact us now
1,you are selected for a free ticket reply yes to claim
1,act now exclusive deal expires tonight
0,happy birthday hope you have a great day
1,act now exclusive deal expires tonight
0,can you send the details today
1,your loan is pending contact us now
1,you are selected for a free ticket reply yes to claim
0,lets catch up this weekend
1,limited time offer get off on electronics
1,free trial available for online course sign up today
0,the meeting is scheduled for pm
1,your loan is overdue contact us now
0,hey are we still meeting at pm
0,please review the proposal and let me know
0,see you at the office tomorrow
1,you are selected for an exclusive offer reply yes to claim
0,i will call you after pm
0,i will call you after pm
1,win cash today click wwwclaimnowcom
0,happy birthday hope you have a great day
1,congratulations you have won shopping voucher claim now at wwwclaimnowcom
0,see you at the office tomorrow
0,hey are we still meeting at am
0,see you at the office tomorrow
1,limited time offer get off on clothing
0,can you send the presentation today
0,i will call you after pm
0,see you at the office tomorrow
0,i will call you after am
0,see you at the office tomorrow
1,limited time offer get off on clothing
0,hey are we still meeting at tomorrow
0,please review the report and let me know
0,lets catch up this weekend
0,happy birthday hope you have a great day
0,i will call you after pm
0,please review the proposal and let me know
0,the meeting is scheduled for pm
1,urgent your account is locked verify immediately
1,earn up to per week from home
1,limited time offer get off on mobile plans
0,thanks for your help with the request
0,hey are we still meeting at pm
0,the meeting is scheduled for am
1,limited time offer get off on mobile plans
1,win cash today click wwwclaimnowcom
0,dont forget to bring the id card
1,you are selected for a free ticket reply yes to claim
0,can you send the presentation today
0,dont forget to bring the laptop
0,dont forget to bring the documents
0,happy birthday hope you have a great day
1,urgent your account will be suspended verify immediately
1,your loan is overdue contact us now
0,hey are we still meeting at am
1,earn up to per week from home
0,hey are we still meeting at am
0,thanks for your help with the request
0,lets catch up this weekend
1,urgent your account needs verification verify immediately
0,please review the proposal and let me know
0,hey are we still meeting at tomorrow
0,the meeting is scheduled for pm
0,happy birthday hope you have a great day
1,you are selected for a bonus reply yes to claim
0,the meeting is scheduled for tomorrow
1,your loan is pending contact us now
1,you are selected for a free ticket reply yes to claim
1,you are selected for an exclusive offer reply yes to claim
0,please review the proposal and let me know
0,please review the proposal and let me know
0,thanks for your help with the request
1,act now exclusive deal expires tonight
0,dont forget to bring the laptop
0,can you send the details today
0,dont forget to bring the laptop
1,you are selected for a bonus reply yes to claim
1,final notice payment overdue
1,earn up to per week from home
0,happy birthday hope you have a great day
0,lets catch up this weekend
0,lets catch up this weekend
0,see you at the office tomorrow
1,limited time offer get off on mobile plans
0,see you at the office tomorrow
0,can you send the invoice today
0,can you send the details today
0,see you at the office tomorrow
0,thanks for your help with the issue
0,happy birthday hope you have a great day
0,see you at the office tomorrow
0,final notice payment approved
1,final notice payment overdue
0,happy birthday hope you have a great day
1,you are selected for a bonus reply yes to claim
1,you are selected for a bonus reply yes to claim
0,win cash today click bitlywinnow
1,you are selected for a free ticket reply yes to claim
0,can you send the invoice today
1,free trial available for investment plan sign up today
1,urgent your account will be suspended verify immediately
0,the meeting is scheduled for pm
0,lets catch up this weekend
0,can you send the details today
0,happy birthday hope you have a great day
1,your loan is overdue contact us now
0,please review the assignment and let me know
0,see you at the office tomorrow
0,the meeting is scheduled for am
0,can you send the presentation today
1,win cash today click bitlywinnow
1,you are selected for a free ticket reply yes to claim
0,see you at the office tomorrow
0,happy birthday hope you have a great day
0,thanks for your help with the request
1,congratulations you have won shopping voucher claim now at securerewardnet
0,i will call you after am
1,free trial available for investment plan sign up today
0,can you send the details today
1,win cash today click securerewardnet
1,win cash today click bitlywinnow
1,lets catch up this weekend
0,the meeting is scheduled for am
1,limited time offer get off on electronics
0,the meeting is scheduled for tomorrow
1,urgent your account is locked verify immediately
0,please review the assignment and let me know
0,thanks for your help with the issue
0,happy birthday hope you have a great day
0,lets catch up this weekend
0,please review the assignment and let me know
0,can you send the details today
0,hey are we still meeting at tomorrow
1,your loan is pending contact us now
1,urgent your account needs verification verify immediately
0,hey are we still meeting at pm
1,urgent your account needs verification verify immediately
0,i will call you after am
0,i will call you after tomorrow
0,free trial available for investment plan sign up today
0,hey are we still meeting at pm
0,hey are we still meeting at tomorrow
0,see you at the office tomorrow
0,happy birthday hope you have a great day
0,the meeting is scheduled for pm
0,the meeting is scheduled for pm
0,see you at the office tomorrow
0,thanks for your help with the issue
1,act now exclusive deal expires tonight
0,hey are we still meeting at am
0,hey are we still meeting at am
0,can you send the presentation today
0,can you send the presentation today
1,urgent your account needs verification verify immediately
0,see you at the office tomorrow
0,see you at the office tomorrow
0,win cash today click bitlywinnow
0,please review the proposal and let me know
1,limited time offer get off on clothing
0,lets catch up this weekend
0,please review the assignment and let me know
0,see you at the office tomorrow
1,congratulations you have won a gift card claim now at securerewardnet
0,lets catch up this weekend
0,the meeting is scheduled for tomorrow
1,you are selected for an exclusive offer reply yes to claim
1,win cash today click wwwclaimnowcom
0,i will call you after tomorrow
0,lets catch up this weekend
1,congratulations you have won a gift card claim now at wwwclaimnowcom
0,see you at the office tomorrow
0,can you send the presentation today
1,act now exclusive deal expires tonight
0,can you send the presentation today
0,lets catch up this weekend
1,win cash today click wwwclaimnowcom
1,earn up to per week from home
0,see you at the office tomorrow
0,see you at the office tomorrow
1,urgent your account needs verification verify immediately
0,dont forget to bring the id card
1,free trial available for online course sign up today
0,please review the report and let me know
0,happy birthday hope you have a great day
0,i will call you after tomorrow
1,limited time offer get off on mobile plans
1,limited time offer get off on clothing
0,happy birthday hope you have a great day
0,the meeting is scheduled for am
1,i will call you after am
0,i will call you after am
1,act now exclusive deal expires tonight
1,congratulations you have won cash reward claim now at wwwclaimnowcom
1,final notice payment approved
0,lets catch up this weekend
0,dont forget to bring the documents
0,can you send the presentation today
0,can you send the invoice today
1,act now exclusive deal expires tonight
1,win cash today click wwwclaimnowcom
0,lets catch up this weekend
1,urgent your account will be suspended verify immediately
1,congratulations you have won cash reward claim now at bitlywinnow
1,earn up to per week from home
1,your loan is approved contact us now
0,can you send the presentation today
0,lets catch up this weekend
0,can you send the invoice today
1,final notice payment pending
0,the meeting is scheduled for am
1,your loan is approved contact us now
0,happy birthday hope you have a great day
0,see you at the office tomorrow
0,i will call you after pm
0,dont forget to bring the laptop
1,limited time offer get off on electronics
0,hey are we still meeting at pm
0,hey are we still meeting at am
0,i will call you after am
0,the meeting is scheduled for am
0,please review the proposal and let me know
0,see you at the office tomorrow
0,the meeting is scheduled for pm
1,dont forget to bring the documents
0,the meeting is scheduled for am
1,your loan is overdue contact us now
1,final notice payment overdue
0,thanks for your help with the request
1,act now exclusive deal expires tonight
1,act now exclusive deal expires tonight
1,win cash today click securerewardnet
0,see you at the office tomorrow
1,urgent your account will be suspended verify immediately
1,urgent your account needs verification verify immediately
0,please review the assignment and let me know
1,final notice payment pending
1,win cash today click wwwclaimnowcom
1,act now exclusive deal expires tonight
1,win cash today click bitlywinnow
0,please review the proposal and let me know
0,lets catch up this weekend
1,i will call you after tomorrow
1,final notice payment approved
1,act now exclusive deal expires tonight
1,win cash today click wwwclaimnowcom
1,hey are we still meeting at pm
