label,message
ham,Happy birthday! Hope you have a great day
spam,Win 20000 cash today! Click bit.ly/win-now
spam,URGENT: Your account will be suspended. Verify immediately
spam,URGENT: Your account will be suspended. Verify immediately
ham,Can you send the details today?
spam,Congratulations! You have won cash reward. Claim now at secure-reward.net
spam,Free trial available for investment plan. Sign up today
ham,I will call you after 10 am
spam,Congratulations! You have won a gift card. Claim now at www.claim-now.com
ham,Happy birthday! Hope you have a great day
spam,Final notice: payment overdue
ham,See you at the office tomorrow
spam,Act now! Exclusive deal expires tonight
spam,Earn up to 5000 per week from home
spam,URGENT: Your account is locked. Verify immediately
spam,URGENT: Your account is locked. Verify immediately
ham,Let's catch up this weekend
spam,You are selected for an exclusive offer. Reply YES to claim
spam,Win 10000 cash today! Click secure-reward.net
ham,Let's catch up this weekend
ham,"Hey, are we still meeting at 5 pm?"
ham,The meeting is scheduled for tomorrow
ham,See you at the office tomorrow
ham,See you at the office tomorrow
ham,I will call you after 5 pm
ham,Happy birthday! Hope you have a great day
ham,The meeting is scheduled for tomorrow
spam,Your loan is approved. Contact us now
spam,Free trial available for online course. Sign up today
spam,You are selected for a bonus. Reply YES to claim
ham,The meeting is scheduled for 5 pm
ham,See you at the office tomorrow
spam,Limited time offer: Get 50% off on electronics
ham,Please review the proposal and let me know
ham,I will call you after 10 am
ham,The meeting is scheduled for 5 pm
spam,Your loan is pending. Contact us now
spam,Limited time offer: Get 70% off on mobile plans
spam,Earn up to 5000 per week from home
ham,Please review the report and let me know
ham,The meeting is scheduled for 10 am
ham,See you at the office tomorrow
ham,Thanks for your help with the project
spam,Free trial available for investment plan. Sign up today
ham,Can you send the presentation today?
ham,See you at the office tomorrow
spam,Win 5000 cash today! Click secure-reward.net
spam,Act now! Exclusive deal expires tonight
ham,"Hey, are we still meeting at tomorrow?"
spam,You are selected for an exclusive offer. Reply YES to claim
spam,Your loan is pending. Contact us now
spam,Final notice: payment overdue
ham,See you at the office tomorrow
spam,Limited time offer: Get 50% off on electronics
ham,Please review the assignment and let me know
ham,Please review the assignment and let me know
spam,Win 10000 cash today! Click www.claim-now.com
ham,Can you send the invoice today?
ham,"Hey, are we still meeting at 5 pm?"
spam,Win 20000 cash today! Click secure-reward.net
ham,Can you send the invoice today?
ham,Don't forget to bring the documents
ham,The meeting is scheduled for 10 am
ham,"Hey, are we still meeting at 5 pm?"
spam,You are selected for a bonus. Reply YES to claim
spam,Win 20000 cash today! Click bit.ly/win-now
spam,Win 10000 cash today! Click www.claim-now.com
spam,You are selected for a bonus. Reply YES to claim
ham,Happy birthday! Hope you have a great day
ham,Please review the report and let me know
ham,Let's catch up this weekend
ham,Thanks for your help with the issue
spam,URGENT: Your account needs verification. Verify immediately
spam,Limited time offer: Get 50% off on clothing
ham,See you at the office tomorrow
ham,Happy birthday! Hope you have a great day
spam,You are selected for a free ticket. Reply YES to claim
ham,Can you send the invoice today?
spam,Limited time offer: Get 30% off on electronics
ham,"Hey, are we still meeting at 5 pm?"
spam,Act now! Exclusive deal expires tonight
ham,Let's catch up this weekend
ham,Happy birthday! Hope you have a great day
ham,I will call you after 10 am
ham,Can you send the invoice today?
ham,Can you send the details today?
spam,Win 20000 cash today! Click bit.ly/win-now
spam,Limited time offer: Get 70% off on electronics
spam,Limited time offer: Get 50% off on clothing
ham,"Hey, are we still meeting at 5 pm?"
ham,See you at the office tomorrow
ham,Happy birthday! Hope you have a great day
ham,"Hey, are we still meeting at 5 pm?"
ham,See you at the office tomorrow
spam,Limited time offer: Get 50% off on mobile plans
ham,Can you send the presentation today?
spam,Congratulations! You have won $1000. Claim now at www.claim-now.com
ham,I will call you after tomorrow
ham,The meeting is scheduled for 10 am
spam,Earn up to 5000 per week from home
spam,Final notice: payment approved
ham,"Hey, are we still meeting at 5 pm?"
spam,Your loan is pending. Contact us now
ham,Let's catch up this weekend
spam,Win 10000 cash today! Click www.claim-now.com
spam,Final notice: payment pending
spam,Win 5000 cash today! Click secure-reward.net
spam,Act now! Exclusive deal expires tonight
ham,Please review the assignment and let me know
spam,Earn up to 20000 per week from home
ham,Thanks for your help with the issue
